sub_id,sub_original
554,Game Development & Design
614,World Languages
510,Data Visualization
486,Personal Growth
468,Collaboration
422,Finance
442,Networking
464,Search Engine Optimization
610,English Language Learning
410,Programming Languages
414,Web Development
578,Software Engineering
390,Cloud Development
432,Learning & Development
408,Mobile Development
452,Strategy
440,IT Certifications
396,Photo & Video Editing Tools
430,Human Resources Fundamentals
434,Talent Management
458,Marketing Strategy
394,Design & Illustration Tools
618,Business Analysis
629,Generative AI for Tech
512,Machine Learning
518,Marketing Analytics & Automation
494,Project Management Certifications
496,Project Management
626,Office Productivity & Collaboration Tools
404,Database Design & Development
466,Social Media Marketing
444,Operating Systems & Servers
388,Cloud Certifications
412,Software Testing
631,Generative AI for Business
392,3D & Animation Tools
450,Management
506,Big Data
406,DevOps
418,Accounting Software
602,Defensive Security
628,Generative AI Tools
620,Fundamentals of Communication
608,Career Success
426,Investing & Trading
478,Arts & Creativity
490,Agile & Scrum
480,Health & Fitness
594,No Code/Low Code Development
456,Digital Marketing
402,Web & Mobile Design
446,Communication
436,Database Administration
454,Content Marketing
424,Financial Modeling & Analysis
448,Leadership
598,Cybersecurity Certifications
592,Math & Statistics
504,Analytics
500,Customer Success & Customer Service
400,User Experience Design
624,Public Speaking & Presentations
460,Paid Advertising
502,Sales Skills & Tools
572,Life Skills
600,Security Awareness
606,"Governance, Risk, and Compliance"
488,Stress Management
588,Supply Chain Management
612,English Language Test Prep
438,Hardware
492,Operations Management
580,"Diversity, Equity & Inclusion (DEI)"
616,"Environmental, Social & Governance (ESG)"
516,Statistical Analysis
416,Accounting
584,PMI Professional Development Units (PDUs)
574,Entrepreneurship
622,Written Communication
428,Compliance
498,Project Management Tools
560,Work Safety
604,Offensive Security
384,Spreadsheets
590,Product Management
474,Presentations
386,Cloud Fundamentals
514,Data Dashboards
472,Operating Systems
556,Game Design
570,Hobbies
420,Corporate Finance
470,Email & Productivity
476,Word Processing
586,CompTIA Continuing Education (CE)
582,NASBA Continuing Professional Education (CPE)
398,Mobile Design
482,Language Learning
